T,TM,Tm,H,PP,VV,V,VM,NH3
24.2,33,16,36,0,4.3,5.6,13,1.6
24.2,34,14.6,33,0,4,3.5,11.1,1.6
24.2,34,14.6,33,0,4,3.5,11.1,1.6
25.9,36,17,26,0,4.3,8.5,14.8,1.6
25.9,36,17,26,0,4.3,8.5,14.8,1.6
25.6,36,16,26,0,4.5,8.7,18.3,1.6
25.6,36,16,26,0,4.5,8.7,18.3,1.6
29,38,19.5,29,0,4.3,8.3,13,1.6
29,38,19.5,29,0,4.3,8.3,13,1.6
30,37,22,39,0,3.7,5,11.1,1.6
30,37,22,39,0,3.7,5,11.1,1.6
28.1,36,22,48,0,3.5,6.1,14.8,1.6
28.1,36,22,48,0,3.5,6.1,14.8,1.6
26.8,34,20,32,0,4.8,8.5,14.8,1.6
26.8,34,20,32,0,4.8,8.5,14.8,1.6
27.1,35,18,34,0,4.5,6.3,13,1.6
27.1,35,18,34,0,4.5,6.3,13,1.6
28,36,19,34,0,4.5,4.3,9.4,1.6
28,36,19,34,0,4.5,4.3,9.4,1.6
26.7,33,21,42,0,4.8,8.9,16.5,1.6
26.7,33,21,42,0,4.8,8.9,16.5,1.6
26.6,34,19,34,0,4.5,7,16.5,1.6
26.6,34,19,34,0,4.5,7,16.5,1.6
28.1,35,20,31,0,4.3,6.3,14.8,1.6
28.1,35,20,31,0,4.3,6.3,14.8,1.6
31.5,39,24.4,36,0,4.2,11.9,22.2,1.6
31.5,39,24.4,36,0,4.2,11.9,22.2,1.6
30.9,39,23,28,0,4.7,10.4,22.2,1.6
30.9,39,23,28,0,4.7,10.4,22.2,1.6
29.8,39,21.6,28,0,4.5,8.1,18.3,1.6
29.8,39,21.6,28,0,4.5,8.1,18.3,1.6
32.5,41,23,27,0,4.3,7.2,14.8,1.6
32.5,41,23,27,0,4.3,7.2,14.8,1.6
31.3,39,24,32,0,4.3,6.3,13,1.6
31.3,39,24,32,0,4.3,6.3,13,1.6
30.9,39,22,27,0,4.5,6.7,13,1.6
30.9,39,22,27,0,4.5,6.7,13,1.6
29.9,39,23,33,0,4.5,6.5,13,1.6
29.9,39,23,33,0,4.5,6.5,13,1.6
31.2,40,20.7,40,0,4.7,7.8,14.8,1.6
31.2,40,20.7,40,0,4.7,7.8,14.8,1.6
32.6,41,25.6,42,0,4.3,6.1,9.4,1.6
32.6,41,25.6,42,0,4.3,6.1,9.4,1.6
32.6,40,26,33,0,4.7,7.6,16.5,1.6
32.6,40,26,33,0,4.7,7.6,16.5,1.6
30.2,37,25,34,0,4.7,8.7,18.3,1.6
30.2,37,25,34,0,4.7,8.7,18.3,1.6
30,38,23,31,0,4.7,8.1,14.8,1.6
30,38,23,31,0,4.7,8.1,14.8,1.6
31.1,39,22,34,0,4.5,6.3,14.8,1.6
