PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Temperature,TM,Tm,Humidity,Precipitation,Visbility,wind_speed,AQI
66.39,134.5612308,8.58,12.79,21.36,1.6,8.58,11.09,4.96,32.1,40,27.2,64,0,4.2,14.3,201
62.61,134.5612308,9.15,9.83,18.98,1.6,9.15,12.31,6.44,32.1,40,27.2,64,0,4.2,14.3,231
47.5,134.5612308,8.07,9.53,17.59,1.6,8.07,13.91,7.28,32.3,40,27.6,62,0.25,4.2,12,196
111.8,134.5612308,9.23,11.51,20.74,1.6,9.23,5.27,5.99,32.3,40,27.6,62,0.25,4.2,12,220
30,134.5612308,8.87,13.59,22.64,1.6,8.87,8.09,6.31,32.7,37,28,63,0,4,8.1,244
4.66,134.5612308,9.01,10.9,20.36,1.6,9.01,7.31,6.38,32.7,37,28,63,0,4,8.1,223
48.72,134.5612308,9.56,11.94,21.5,1.6,9.56,5.72,6.61,32.8,39,27.2,60,0,4.3,10,230
49.7,134.5612308,9.43,9.81,19.23,1.6,9.43,6.78,6.42,32.8,39,27.2,60,0,4.3,10,243
48.1,134.5612308,8.03,9.53,17.57,1.6,8.03,9.33,7.6,33.4,39,27.7,61,0,4.7,11.3,215
47.43,134.5612308,8.11,9.45,17.56,1.6,8.11,7.93,7.08,33.4,39,27.7,61,0,4.7,11.3,199
51.74,134.5612308,8.91,12.38,21.28,1.6,8.91,10.05,5.78,30.1,35,25.3,78,130.05,3.7,14.8,200
42.68,134.5612308,9.74,11.08,20.82,1.6,9.74,10.87,4.44,30.1,35,25.3,78,130.05,3.7,14.8,226
38.45,134.5612308,10.55,7.8,18.35,1.6,10.55,10.28,3.24,31.2,36.5,27.1,73,0,3.5,17.2,241
46.69,134.5612308,11.48,0.17,11.64,1.6,11.48,10.25,5.76,31.2,36.5,27.1,73,0,3.5,17.2,222
55.27,134.5612308,11.55,0.12,11.66,1.6,11.55,12.7,6.55,31.4,36.8,26.9,70,0,3.7,15.6,223
149.03,134.5612308,11.49,0.16,11.65,1.6,11.49,10.07,7.27,31.4,36.8,26.9,70,0,3.7,15.6,248
86.57,134.5612308,11.47,0.17,11.64,1.6,11.47,11.09,6.53,31.8,37.4,27.5,63,0,4.3,13.9,300
111.77,134.5612308,11.3,0.24,11.53,1.6,11.3,7.73,4.67,31.8,37.4,27.5,63,0,4.3,13.9,232
151.4,134.5612308,10.8,0.36,11.16,1.6,10.8,7.8,5.46,32.1,38,27.7,61,0,4.7,16.9,330
51.35,134.5612308,8,2.69,10.67,1.6,8,10,5.76,32.1,38,27.7,61,0,4.7,16.9,223
65.37,134.5612308,0.64,8.07,8.57,1.6,0.64,16.31,8.02,31.8,38,27.5,63,0,4.7,15.4,105
56.28,134.5612308,0.6,8.02,8.51,1.6,0.6,18.93,6.2,31.8,38,27.5,63,0,4.7,15.4,101
48.17,134.5612308,0.65,8,8.55,1.6,0.65,18.99,7.97,30.9,36.4,28,66,0,4.3,14.1,93
33.56,134.5612308,0.72,7.89,8.56,1.6,0.72,11.28,10.18,30.9,36.4,28,66,0,4.3,14.1,67
31.3,134.5612308,0.55,8.1,8.49,1.6,0.55,10.29,7.44,31,35,28,68,2.03,4.3,11.9,60
48.12,134.5612308,0.67,7.9,8.43,1.6,0.67,1.28,6.3,31,35,28,68,2.03,4.3,11.9,77.6
57.11,134.5612308,0.55,8.28,8.42,1.6,0.55,14.58,2.6,32.2,37,27.7,59,0,4.7,16.5,90
34.72,134.5612308,0.1,9.73,7.88,1.6,0.1,13.62,4.87,32.2,37,27.7,59,0,4.7,16.5,78
29.22,134.5612308,0.06,9.57,7.77,1.6,0.06,13.58,5.08,33.6,38,28.8,58,0,4.5,11.5,48
29.79,134.5612308,0.14,8.64,7.97,1.6,0.14,15.11,5.34,33.6,38,28.8,58,0,4.5,11.5,53
59.95,134.5612308,0.18,8.78,8.16,1.6,0.18,11.52,2.79,33.3,38,29,57,0,4.7,12.8,91
19.2,134.5612308,1.52,9.45,9.74,1.6,1.52,11.23,4.61,33.3,38,29,57,0,4.7,12.8,70
19.52,134.5612308,5.89,11.26,17.15,1.6,5.89,11.56,4.4,32.4,37.9,28,60,0,4.5,15.9,157
35.16,134.5612308,5.75,10.89,16.64,1.6,5.75,14.7,3.67,32.4,37.9,28,60,0,4.5,15.9,158
33.03,134.5612308,7.01,10.58,17.58,1.6,7.01,12.95,3.53,31.5,34,28.8,63,0,4.5,13.3,169
40.95,134.5612308,6.92,10.47,17.39,1.6,6.92,19.8,3.38,31.5,34,28.8,63,0,4.5,13.3,174
40.29,134.5612308,6.74,10.52,17.26,1.6,6.74,8.27,3.57,30.4,33,28,69,0,4.2,10,173
41.16,134.5612308,6.91,10.51,17.42,1.6,6.91,13.48,3.69,30.4,33,28,69,0,4.2,10,172
36.12,134.5612308,7.21,11.56,17.07,1.6,7.21,13.62,6.08,29.6,35.4,27,79,6.1,3.5,5,190
28.51,134.5612308,6.69,20.52,27.21,1.6,6.69,5.69,7.65,29.6,35.4,27,79,6.1,3.5,5,171
31.59,134.5612308,6.99,20.42,27.41,1.6,6.99,9.23,7.9,28.4,31.6,26,81,7.87,3.4,12.8,168
42.56,134.5612308,7.17,20.4,27.57,1.6,7.17,6.28,9.86,28.4,31.6,26,81,7.87,3.4,12.8,172
48.12,134.5612308,7.14,20.3,27.45,1.6,7.14,6.77,12.78,25.9,29,24,92,23.11,2.3,13.9,173
